Name,Service,Location,Zip Code,Phone Number,Website,Notes,Families?,Young Children?,Seniors?,At Risk Health Groups?,Low Income?,Frontline Healthcare Workers?,Language
Workers Need Childcare,Childcare,"Queens, Brooklyn, Manhattan, Bronx, Statan Island",,,https://www.workersneedchildcare.org/,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,English
Invisible Hands,Grocery Delivery,"Queens, Brooklyn, Manhattan, Bronx, Statan Island",,(732) 639-1579,https://invisiblehandsdeliver.org/,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
NYC Department of Education Grab & Go Meals,Prepared Meals,"Queens, Brooklyn, Manhattan, Bronx, Statan Island",,,https://www.opt-osfns.org/schoolfoodny/meals/default.aspx,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"English, Spanish, Multilingual"
COVID-19 Food Hub NYC,Prepared Meals,"Queens, Brooklyn, Manhattan, Bronx, Statan Island",,,https://sites.google.com/foodeducationfund.org/foodhubnyc/home,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Abraham House Inc,Prepared Meals,Bronx,10454,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Saturday 6:30am-7:30am,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Abundant Life Tabernacle,Prepared Meals,Bronx,10454,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Tuesday and Thursday 12:30-2pm ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Bronx Full Gospel Tabernacle Inc.,Prepared Meals,Bronx,10457,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Saturday 8:00-9:00am,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Bronx SDA Church,Prepared Meals,Bronx,10457,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Thursday 2:00-5:00pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
BronxWorks Heights Senior Center,Prepared Meals,Bronx,10453,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,"M, W, F, 11:00am-1:00pm",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
"Christ Disciples International Ministries, Inc.",Prepared Meals,Bronx,10467,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,"Monday 12:00-2:00, W and T 10:30-1:00, Sunday 4:00-5:00",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Church of St. Frances of Rome,Prepared Meals,Bronx,10466,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Fridays 9:00-12:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Christ Jesus Baptist Church,Prepared Meals,Bronx,10462,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Wednesdays 12:00-1:30pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Momentum Project Inc @ St Peters Church,Prepared Meals,Bronx,10451,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Tuesday 4:00-6:30pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Community Food Pantry of Highbridge,Prepared Meals,Bronx,10452,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Tues 10am-1pm; Thurs 12-3pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Davidson Community Center,Prepared Meals,Bronx,10453,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Wednesday 10:00am-12:00pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Garden of Prayer,Prepared Meals,Bronx,10457,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Friday 11:30-1:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Heavenly Vision Christian Center,Prepared Meals,Bronx,10468,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Tuesday 9:00-11:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Jewish Community Council,Prepared Meals,Bronx,10462,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,"T,W,Th: 1-4pm. Call first. Need photo ID. *Office & food pantry will be closed for Passover (April 8th, 9th, and 10th and 15th and 16th)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Los Redimidos en la Sangre de Cristo,Prepared Meals,Bronx,10457,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Wednesday 12:00-1:00pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Pentecost Care Community Outreach,Prepared Meals,Bronx,10467,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Thursday 4:00-6:00pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Project Bravo at Montefiore Medical Center,Prepared Meals,Bronx,10467,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,"Monday and Friday 12:00-2:00pm, Wednesday 10:00-12:00",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Prospect SDA Church,Prepared Meals,Bronx,10459,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
New Covenant Community Development Corporation,Prepared Meals,Bronx,10456,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Thursday 10:00-1:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
New York Common Pantry Bronx,Prepared Meals,Bronx,10459,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Tuesdau-Friday 10am-4pm new client intakes Thursday - Friday 10am-2pm pantry distribution Need proof of address ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Resurrection and Life Pentecostal Church,Prepared Meals,Bronx,10459,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,"Tuesday 12:00-1:00pm, Sunday 1:00-2:00pm ",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Ruth Fernandez Family Residence,Prepared Meals,Bronx,10455,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Wednesday 9:00am-12:00pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Salvation Army Bronx Tremont Corps.,Prepared Meals,Bronx,10457,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,By appointment only,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
St. Augustine Food Pantry,Prepared Meals,Bronx,10456,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,"Monday 9:30-1:30, Thursday 5:00-7:00",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Tolentine Zeiser Community Life Center,Prepared Meals,Bronx,10468,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Wednesday 9:00am-1:00pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Union Grove Missionary Baptist Church,Prepared Meals,Bronx,10460,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Wednesday 9:00-11:00am,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Unique People's AIDS Services,Prepared Meals,Bronx,10467,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,"M, T, W 11:00am-3:00pm",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
The Hope Line Resource Center,Prepared Meals,Bronx,10455,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,"Wednesday 11:00-1:00, Thursday 9:30-11:00, Friday 9:30-12:30",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Spanish SDA Church,Prepared Meals,Bronx,10459,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Thursday 9:00-10:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
United Bronx Parents,Prepared Meals,Bronx,10455,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Wednesday and Friday 10:00am-12:00pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Bronx Temple SDA Church,Prepared Meals,Bronx,10455,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,"Monday and Wednesday 11:00-1:00, Thursday 12:00-1:00",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Grace Episcopal Church West Farms,Prepared Meals,Bronx,10460,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,"Tuesday 12:00-1:00, Thursday 9:00-11:00",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Manna of Life,Prepared Meals,Bronx,10459,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Food Pantry: By appointment only 347-577-5788; Soup Kitchen: Sat 10am-1pm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
St. Ann's Pantry & Soup Kitchen,Prepared Meals,Bronx,10454,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,"Pantry: Wed + Fri 10:30-2 ; Kitchen: Sunday 11:30-2
",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Part of the Solution (POTS),Prepared Meals,Bronx,10458,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,Pantry: M-Fri 9AM-11:30PM (boxed food); Community Kitchen M-Fri 12:30PM-3:30PM (take out only). Mail Room: 1PM-3:30PM – Monday-Friday.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Salvation Army Bronx Citadel,Prepared Meals,Bronx,10451,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,"Soup Kitchen: M, W, F, 1:00-2:00pm; Food Pantry: Every day; call and make an appointment ",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
Melrose Mobile Market - City Harvest,Prepared Meals,Bronx,10451,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,2nd Saturday & 4th Wednesday of each month 9:30–11:30 am,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
St. Mary’s Mobile Markets - City Harvest,Prepared Meals,Bronx,10455,,https://www.coalitionforthehomeless.org/wp-content/uploads/2020/04/BronxResourceGuideDOE04.06.2020.pdf,"2nd Saturday & 4th Tuesday of each month, 9:30–11:30 am",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,English
